Name,Market Cap (GBP Billion)
 JPMorgan Chase,272.006
 Industrial and Commercial Bank of China,218.067
 Bank of America,206.324
 Wells Fargo,158.094
 China Construction Bank,153.403
 Agricultural Bank of China,133.864
 HSBC Holdings PLC,124.998
 Citigroup Inc.,120.654
 Bank of China,111.486
 China Merchants Bank,98.372
 Royal Bank of Canada,83.937
 Toronto-Dominion Bank,78.634
 Commonwealth Bank,73.589
 HDFC Bank,78.11
 U.S. Bancorp,62.252
 Goldman Sachs,58.048
 Banco Santander,55.665
 Banco Bradesco,55.075
 Morgan Stanley,54.53
 Westpac,50.038
 Mitsubishi UFJ Financial Group,48.828
 Scotiabank,48.297
 PNC Financial Services,46.549
 Bank of Communications,45.62
 BNP Paribas,43.783
 Australia and New Zealand Banking Group,40.479
 National Australia Bank,38.118
 Lloyds Banking Group,37.757
 Sumitomo Mitsui Financial Group,36.769
 Bank of Montreal,35.493
 UBS,33.87
 ING Group,33.169
 Capital One,31.878
 The Bank of New York Mellon,31.406
 China Minsheng Bank,28.862
 China CITIC Bank,28.434
 Banco Bilbao Vizcaya Argentaria,27.6
 Mizuho Financial Group,27.254
 Intesa Sanpaolo,27.217
 Crédit Agricole,25.734
 Canadian Imperial Bank of Commerce,25.72
 Royal Bank of Scotland,25.041
 Barclays,24.532
 Credit Suisse,22.681
 Nordea,21.825
 Standard Chartered,21.663
 KBC Bank,20.21
 UniCredit,19.826
 Société Générale,15.688
 Deutsche Bank,11.632
