,rates
AED,4.194863
AFN,106.174948
ALL,121.358803
AMD,548.047884
ANG,2.058814
AOA,596.286214
ARS,120.842973
AUD,1.5956
AWG,2.055976
AZN,1.955394
BAM,1.955394
BBD,2.306697
BDT,98.215316
BGN,1.954472
BHD,0.430525
BIF,2282.411456
BMD,1.142051
BND,1.536537
BOB,7.85375
BRL,6.006839
BSD,1.1424
BTC,2.6133405e-05
BTN,85.347083
BWP,13.260187
BYN,2.939187
BYR,22384.190366
BZD,2.302798
CAD,1.450576
CDF,2297.805557
CHF,1.056009
CLF,0.034253
CLP,945.138089
CNY,7.268919
COP,4515.530745
CRC,735.076556
CUC,1.142051
CUP,30.264339
CVE,110.240436
CZK,24.258869
DJF,203.384477
DKK,7.443426
DOP,65.696499
DZD,160.724189
EGP,17.949156
ERN,17.13078
ETB,57.280285
EUR,1.0
FJD,2.445582
FKP,0.831321
GBP,0.842359
GEL,3.363311
GGP,0.831321
GHS,7.311171
GIP,0.831321
GMD,60.471167
GNF,10395.447155
GTQ,8.790541
GYD,238.896769
HKD,8.899829
HNL,28.122364
HRK,7.520518
HTG,117.918177
HUF,353.571978
IDR,16405.213232
ILS,3.666187
IMP,0.831321
INR,85.43166
IQD,1666.704032
IRR,48251.634933
ISK,142.207943
JEP,0.831322
JMD,178.818807
JOD,0.809704
JPY,131.878857
KES,129.735137
KGS,96.836177
KHR,4647.103498
KMF,491.252757
KPW,1027.845655
KRW,1366.223914
KWD,0.34522
KYD,0.95208
KZT,488.756816
LAK,13064.218197
LBP,1727.298309
LKR,230.769994
LRD,175.181665
LSL,17.747765
LTL,3.372178
LVL,0.690815
LYD,5.232586
MAD,10.659425
MDL,20.474224
MGA,4557.974574
MKD,61.615731
MMK,2031.232724
MNT,3264.929643
MOP,9.170576
MRO,407.711842
MUR,50.132877
MVR,17.6559
MWK,917.307542
MXN,23.508185
MYR,4.779518
MZN,72.896684
NAD,17.7476
NGN,474.944136
NIO,40.502443
NOK,10.074142
NPR,136.55378
NZD,1.715862
OMR,0.439645
PAB,1.142445
PEN,4.395821
PGK,4.011853
PHP,58.685981
PKR,199.171449
PLN,4.525365
PYG,7972.007605
QAR,4.158237
RON,4.945538
RSD,117.608879
RUB,85.528292
RWF,1187.279857
SAR,4.284559
SBD,9.24747
SCR,15.366256
SDG,504.786673
SEK,10.430091
SGD,1.53451
SHP,1.573062
SLL,12950.852844
SOS,668.099239
SRD,23.531383
STD,23638.140157
SVC,9.996685
SYP,2868.830672
SZL,17.651917
THB,37.544894
TJS,12.903025
TMT,3.997177
TND,3.265695
TOP,2.590113
TRY,15.527888
TTD,7.752905
TWD,31.789551
TZS,2640.420668
UAH,31.951641
UGX,4015.405289
USD,1.142051
UYU,49.984644
UZS,12398.058911
VEF,244204918512.49384
VND,25930.257258
VUV,129.818498
WST,2.983428
XAF,655.802261
XAG,0.050716
XAU,0.000632
XCD,3.086449
XDR,0.813315
XOF,655.84245
XPF,119.630005
YER,285.797715
ZAR,17.547832
ZMK,10279.831831
ZMW,21.163404
ZWL,367.739804
